title,news,summary
(완료) 312(토) 구글 플레이 스토어 결제 오류 안내.txt, 구글 플레이 스토어 결제 오류가 수정되었습니다. 샬레운영사무국에서 안내드립니다. 현재 구글 플레이 스토어에서 결제 진행 시 정상적으로 결제 진행 및 상품 지급이 이루어지지 않는 문제가 확인되어 안내드립니다. 정상화되는 대로 신속하게 안내드릴 수 있도록 하겠습니다., 구글 플레이 스토어 결제 오류가 수정되었습니다.  현재 구글 플레이 스토어에서 결제 진행 시 정상적으로 결제 진행 및 상품 지급이 이루어지지 않는 문제가 확인되어 안내드립니다.
(완료) 318(금) 네이버 계정 로그인 오류 현상 안내.txt, 3월 18일금 오전 2시경 해당 현상이 해결 완료된 것으로 확인되었습니다. 현재는 정상적으로 네이버 계정에 로그인하실 수 있습니다. 샬레운영사무국에서 안내드립니다. 현재 네이버 계정에서 로그인 오류 현상이 확인되어 안내드립니다. 해당 현상에 대해 원인을 확인하고 있으며 추가로 확인되는 내용은 본 공지로 안내 드리겠습니다. 게임 이용에 불편을 드려 죄송합니다., 3월 18일 금 오전 2시경 해당 현상이 해결 완료된 것으로 확인되었습니다. 현재는 정상적으로 네이버 계정에 로그인하실 수 있습니다.
(완료) 328(화) 구글 플레이스토어 틴 버전 앱 배포 지연 안내.txt, 3/29수 구글 플레이스토어 내 블루 아카이브15 틴 버전 앱의 배포가 완료되어 안내드립니다. 마켓에서 업데이트를 완료하시면 정상적으로 이용하실 수 있습니다. 기다려주셔서 감사합니다. 3월 28일화 구글 플레이스토어 내 블루 아카이브15 틴 버전 앱의 배포가 지연되고 있어 안내 드립니다. 업데이트가 완료되는 대로 본 공지를 통해 추가 안내드릴 예정이며 해당 마켓의 틴 버전 앱 외 각 마켓의 모든 앱에서는 블루 아카이브를 정상적으로 이용하실 수 있습니다. 3/28화 구글 플레이스토어 틴 버전 앱 배포 지연 안내 기간 3월 28일화 오전 11시 앱 배포 완료 시까지 3월 29일수 오전 11시 배포 완료 대상 구글 플레이스토어 내 블루 아카이브15 틴 버전 앱 영향 구글 플레이스토어 내 블루 아카이브15 틴 버전 앱으로 접속 불가 게임 이용에 불편을 드려 죄송합니다. 감사합니다., 3/29수 구글 플레이스토어 내 블루 아카이브15 틴 버전 앱의 배포가 완료되어 안내드립니다. 해당 마켓의 틴 버전 앱 외 각 마켓의 모든 앱에서는 블루 아카이브를 정상적으로 이용하실 수 있습니다. 
(완료) 329(수) Android 기기 페이스북 로그인 불가 현상 안내.txt, 4/3월 Android 기기에서 발생하던 페이스북 로그인 불가 현상 수정이 완료되어 안내 드립니다. 이전 공지를 통해 안내 드린 내용처럼 각 스토어에서 수동으로 업데이트를 진행해 주셔야 수정 내용이 적용되는 점 참고 부탁드립니다. 4/3월 Android 앱 업데이트 안내 바로가기 감사합니다. 3/28화 업데이트 이후 Android 기기에서 페이스북 계정으로 로그인 시도 시 오류 메시지가 노출되는 현상이 확인되어 안내 드립니다. 현재 원인 파악 중으로 확인이 완료되는 대로 본 공지를 통해 추가 안내 드리겠습니다. 게임 이용에 불편을 드려 죄송합니다. , 4/3월 Android 기기에서 발생하던 페이스북 로그인 불가 현상 수정이 완료되어 안내 드립니다. 이전 공지를 통해 안내 드린 내용처럼 각 스토어에서 수동으로 업데이트를 진행해 주셔야 수정 내용이 적용되는 점 참고 부탁드립니다.
(완료) 329(수) 결제 오류 안내.txt, 3/29수 무중단 패치를 통해 결제 오류 현상 해결이 완료되어 안내 드립니다. 3/29수 무중단 패치 안내 바로가기 아울러 오류 발생 시점에 결제 상품을 구매하신 선생님 중 결제 상품 복구 및 결제 취소가 필요하신 선생님께서는 게임 내 고객센터로 문의 접수를 부탁드립니다. 감사합니다. 3/28화 업데이트 이후 결제 오류 현상이 발생하고 있어 안내드립니다. 결제 오류 발생 건은 현재 내부 확인 중이며 완료 시 본 공지를 통해 안내 드리겠습니다. 게임 이용에 불편을 드려 죄송합니다. , 3/29수 무중단 패치를 통해 결제 오류 현상 해결이 완료되어 안내 드립니다. 3/29수 무중단 패치 안내 바로가기 아울러 오류 발생 시점에 결제 상품을 구매하신 선생님 중 결제 상품 복구 및 결제 취소가 필요하신 선생님께서는 게임 내 고객센터로 문의 접수를 부탁드립니다. 
(완료) 51(일) 서버 불안정 현상 안내.txt, 서버 불안정 현상이 해결되어 정상적으로 게임을 이용하실 수 있습니다.아래 안내드리는 기간에 게임 접속 시 우편함을 통해 보상을 수령하실 수 있습니다. 보상 청휘석 240개보상 수령 가능 기간 5월 2일월 낮 12시5월 8일일 오후 11시 59분까지계정 당 1회 우편보관일 7일 게임 이용에 불편을 드려 죄송합니다. 샬레운영사무국에서 안내드립니다. 현재 서버 불안정으로 인해 접속이 원활하지 않은 현상이 있어 안내 드립니다. 추가로 확인되는 내용은 본 공지로 안내 드리겠으며원활한 게임 이용을 위해 더욱 노력하겠습니다., 서버 불안정 현상이 해결되어 정상적으로 게임을 이용하실 수 있습니다.
(완료) 56(토) 서버 불안정 현상 안내.txt, 5월 6일토 임시점검을 통해 서버 불안정 현상이 해결되어 정상적으로 게임을 이용하실 수 있습니다. 5/6토 임시점검 예정 안내 공지 바로가기 원활한 환경 제공을 위해 기다려 주셔서 감사합니다. 샬레운영사무국에서 안내드립니다. 현재 일부 기기에서 접속이 원활하지 않은 현상이 있어 안내 드립니다. 추가로 확인되는 내용은 빠르게 공지를 통해 안내해 드리겠습니다. 원활한 게임 이용을 위해 더욱 노력하겠습니다. , 5월 6일토 임시점검을 통해 서버 불안정 현상이 해결되어 정상적으로 게임을 이용하실 수 있습니다.
(완료) 625(토) 게임 접속 불가 현상 안내.txt, 6/25토 오후 1시 36분 기준 접속 불가 현상이 해결되어 정상적으로 게임을 이용하실 수 있습니다. 선생님께 게임 이용에 불편을 드려 죄송한 마음을 담아 아래와 같이 보상을 준비하였습니다. 보상 청휘석 240개 보상 수령 가능 기간 6월 28일화 점검 후 7월 5일화 오후 11시 59분까지계정 당 1회 우편보관일 7일 우편함에서 불편을 드려 죄송합니다. 제목의 우편으로 확인하실 수 있습니다. 게임 이용에 불편을 드려 죄송하다는 말씀을 드리며 보다 원활하게 게임을 이용하실 수 있도록 더욱 노력하겠습니다 현재 점검 중입니다. 앱을 종료합니다.라는 팝업과 함께 게임 접속이 가능하지 않은 현상이 확인되어 확인작업을 진행 중에 있습니다. 확인이 완료되는 대로 본 공지를 통해 추가 안내드릴 수 있도록 하겠습니다. 게임 이용에 불편을 드려 죄송합니다., 6/25토 오후 1시 36분 기준 접속 불가 현상이 해결되어 정상적으로 게임을 이용하실 수 있습니다.  청휘석 240개 보상 수령 가능 기간 6월 28일화 점검 후 7월 5일화 오후 11시 59분까지 수령가능합니다.
(완료) 818(목) 일부 페이스북 계정 로그인 오류 현상 안내.txt, 오후 3시 40분 경 안내드린 현상이 정상화되었습니다. 현재 페이스북으로 연동된 일부 계정에서 로그인 시 정상적으로 로그인이 되지 않는 현상이 확인되어 안내 드립니다. 해당 현상에 대해 원인을 확인하고 있으며 확인되는 사항이 있을 경우 본 공지를 통해 추가 안내 드리겠습니다. 게임 이용에 불편을 드려 죄송합니다.,오후 3시 40분 경 페이스북으로 연동된 일부 계정에서 로그인 시 정상적으로 로그인이 되지 않는 현상이 정상화되었습니다.
(완료) 921(수) 구글 플레이 스토어 결제 오류 안내.txt, 추가 오후 1시 경 결제 오류가 해소되었습니다. 현재 구글 플레이 스토어에서 간헐적으로 결제가 진행되지 않는 현상이 확인되어 안내드립니다. 해당 현상에 대해서는 확인 중에 있으며 정상화되는 대로 이번 공지에 빠르게 안내드리겠습니다. 이용에 불편을 끼쳐 드려 죄송합니다. , 추가 오후 1시 경 구글 플레이 스토어에서 간헐적으로 결제가 진행되지 않는 현상이 해소되었습니다.
